"location","age","pop","code"
"Alabama","90",4359,"AL"
"Alabama","91",4359,"AL"
"Alabama","92",4359,"AL"
"Alabama","93",4359,"AL"
"Alabama","94",4359,"AL"
"Alabama","95",4359,"AL"
"Alabama","96",4359,"AL"
"Alabama","97",4359,"AL"
"Alabama","98",4359,"AL"
"Alabama","99",4359,"AL"
"Alabama","100",4359,"AL"
"Alabama","101",4359,"AL"
"Alabama","102",4359,"AL"
"Alabama","103",4359,"AL"
"Alabama","104",4359,"AL"
"Alabama","105",4359,"AL"
"Alaska","0",9978,"AK"
"Alaska","1",10012,"AK"
"Alaska","2",10186,"AK"
"Alaska","3",10509,"AK"
"Alaska","4",10395,"AK"
"Alaska","5",10414,"AK"
"Alaska","6",10303,"AK"
"Alaska","7",10286,"AK"
"Alaska","8",10436,"AK"
"Alaska","9",10157,"AK"
"Alaska","10",9976,"AK"
"Alaska","11",10016,"AK"
"Alaska","12",9887,"AK"
"Alaska","13",9509,"AK"
"Alaska","14",9678,"AK"
"Alaska","15",9488,"AK"
"Alaska","16",9410,"AK"
"Alaska","17",9343,"AK"
"Alaska","18",8604,"AK"
"Alaska","19",8265,"AK"
"Alaska","20",9373,"AK"
"Alaska","21",9951,"AK"
"Alaska","22",10376,"AK"
"Alaska","23",10468,"AK"
"Alaska","24",11115,"AK"
"Alaska","25",11494,"AK"
"Alaska","26",11727,"AK"
"Alaska","27",12390,"AK"
"Alaska","28",12426,"AK"
"Alaska","29",12390,"AK"
"Alaska","30",11687,"AK"
"Alaska","31",11521,"AK"
"Alaska","32",11112,"AK"
"Alaska","33",11427,"AK"
"Alaska","34",11414,"AK"
"Alaska","35",10837,"AK"
"Alaska","36",10990,"AK"
"Alaska","37",10421,"AK"
"Alaska","38",10116,"AK"
"Alaska","39",10057,"AK"
"Alaska","40",9166,"AK"
"Alaska","41",8857,"AK"
"Alaska","42",8747,"AK"
"Alaska","43",8146,"AK"
"Alaska","44",8428,"AK"
"Alaska","45",7969,"AK"
"Alaska","46",8077,"AK"
"Alaska","47",8345,"AK"
"Alaska","48",8774,"AK"
"Alaska","49",9138,"AK"
"Alaska","50",8472,"AK"
"Alaska","51",8234,"AK"
"Alaska","52",8365,"AK"
"Alaska","53",8616,"AK"
"Alaska","54",9140,"AK"
"Alaska","55",9436,"AK"
"Alaska","56",9503,"AK"
"Alaska","57",9645,"AK"
"Alaska","58",9740,"AK"
"Alaska","59",9898,"AK"
"Alaska","60",9374,"AK"
"Alaska","61",9168,"AK"
"Alaska","62",9161,"AK"
"Alaska","63",8614,"AK"
"Alaska","64",8800,"AK"
"Alaska","65",8210,"AK"
"Alaska","66",7734,"AK"
"Alaska","67",7220,"AK"
"Alaska","68",6655,"AK"
"Alaska","69",6442,"AK"
"Alaska","70",5978,"AK"
"Alaska","71",5621,"AK"
"Alaska","72",5482,"AK"
"Alaska","73",4013,"AK"
"Alaska","74",3945,"AK"
"Alaska","75",3665,"AK"
"Alaska","76",3459,"AK"
"Alaska","77",2950,"AK"
"Alaska","78",2677,"AK"
"Alaska","79",2327,"AK"
"Alaska","80",1971,"AK"
"Alaska","81",1784,"AK"
"Alaska","82",1586,"AK"
"Alaska","83",1411,"AK"
"Alaska","84",1277,"AK"
"Alaska","85",342,"AK"
"Alaska","86",342,"AK"
"Alaska","87",342,"AK"
"Alaska","88",342,"AK"
"Alaska","89",342,"AK"
"Alaska","90",342,"AK"
"Alaska","91",342,"AK"
"Alaska","92",342,"AK"
"Alaska","93",342,"AK"
"Alaska","94",342,"AK"
"Alaska","95",342,"AK"
"Alaska","96",342,"AK"
"Alaska","97",342,"AK"
"Alaska","98",342,"AK"
"Alaska","99",342,"AK"
"Alaska","100",342,"AK"
"Alaska","101",342,"AK"
"Alaska","102",342,"AK"
"Alaska","103",342,"AK"
"Alaska","104",342,"AK"
"Alaska","105",342,"AK"
"Arizona","0",81929,"AZ"
"Arizona","1",83065,"AZ"
"Arizona","2",85726,"AZ"
"Arizona","3",88192,"AZ"
"Arizona","4",90876,"AZ"
"Arizona","5",90858,"AZ"
"Arizona","6",90405,"AZ"
"Arizona","7",90319,"AZ"
"Arizona","8",91313,"AZ"
"Arizona","9",90797,"AZ"
"Arizona","10",92572,"AZ"
"Arizona","11",96605,"AZ"
"Arizona","12",96951,"AZ"
"Arizona","13",95849,"AZ"
"Arizona","14",95076,"AZ"
"Arizona","15",94742,"AZ"
"Arizona","16",91832,"AZ"
"Arizona","17",93129,"AZ"
"Arizona","18",98200,"AZ"
"Arizona","19",100162,"AZ"
"Arizona","20",96889,"AZ"
"Arizona","21",98003,"AZ"
"Arizona","22",98767,"AZ"
"Arizona","23",100686,"AZ"
"Arizona","24",101137,"AZ"
"Arizona","25",102802,"AZ"
"Arizona","26",103067,"AZ"
"Arizona","27",105931,"AZ"
"Arizona","28",107460,"AZ"
"Arizona","29",106619,"AZ"
"Arizona","30",100169,"AZ"
"Arizona","31",96726,"AZ"
"Arizona","32",94163,"AZ"
"Arizona","33",95058,"AZ"
"Arizona","34",95098,"AZ"
"Arizona","35",91880,"AZ"
"Arizona","36",93730,"AZ"
"Arizona","37",93611,"AZ"
"Arizona","38",93052,"AZ"
"Arizona","39",94708,"AZ"
"Arizona","40",87807,"AZ"
"Arizona","41",85655,"AZ"
"Arizona","42",85735,"AZ"
"Arizona","43",83246,"AZ"
"Arizona","44",86603,"AZ"
"Arizona","45",83835,"AZ"
"Arizona","46",83060,"AZ"
"Arizona","47",85465,"AZ"
"Arizona","48",90253,"AZ"
"Arizona","49",90730,"AZ"
"Arizona","50",85488,"AZ"
"Arizona","51",82818,"AZ"
"Arizona","52",81468,"AZ"
"Arizona","53",81932,"AZ"
"Arizona","54",87041,"AZ"
"Arizona","55",88239,"AZ"
"Arizona","56",88626,"AZ"
"Arizona","57",88876,"AZ"
"Arizona","58",90077,"AZ"
"Arizona","59",90913,"AZ"
"Arizona","60",88044,"AZ"
"Arizona","61",87973,"AZ"
"Arizona","62",87664,"AZ"
"Arizona","63",85107,"AZ"
"Arizona","64",85275,"AZ"
"Arizona","65",83374,"AZ"
"Arizona","66",81125,"AZ"
"Arizona","67",78896,"AZ"
"Arizona","68",77728,"AZ"
"Arizona","69",77376,"AZ"
"Arizona","70",76474,"AZ"
"Arizona","71",76787,"AZ"
"Arizona","72",81299,"AZ"
"Arizona","73",59741,"AZ"
"Arizona","74",58899,"AZ"
"Arizona","75",57521,"AZ"
"Arizona","76",58174,"AZ"
"Arizona","77",50088,"AZ"
"Arizona","78",45100,"AZ"
"Arizona","79",41784,"AZ"
"Arizona","80",38116,"AZ"
"Arizona","81",35128,"AZ"
"Arizona","82",31252,"AZ"
"Arizona","83",28331,"AZ"
"Arizona","84",25703,"AZ"
"Arizona","85",6940,"AZ"
"Arizona","86",6940,"AZ"
"Arizona","87",6940,"AZ"
"Arizona","88",6940,"AZ"
"Arizona","89",6940,"AZ"
"Arizona","90",6940,"AZ"
"Arizona","91",6940,"AZ"
"Arizona","92",6940,"AZ"
"Arizona","93",6940,"AZ"
"Arizona","94",6940,"AZ"
"Arizona","95",6940,"AZ"
"Arizona","96",6940,"AZ"
"Arizona","97",6940,"AZ"
"Arizona","98",6940,"AZ"
"Arizona","99",6940,"AZ"
"Arizona","100",6940,"AZ"
"Arizona","101",6940,"AZ"
"Arizona","102",6940,"AZ"
"Arizona","103",6940,"AZ"
"Arizona","104",6940,"AZ"
"Arizona","105",6940,"AZ"
"Arkansas","0",36355,"AR"
"Arkansas","1",37006,"AR"
"Arkansas","2",37572,"AR"
"Arkansas","3",38610,"AR"
"Arkansas","4",38921,"AR"
"Arkansas","5",38404,"AR"
"Arkansas","6",37924,"AR"
"Arkansas","7",38827,"AR"
"Arkansas","8",38633,"AR"
"Arkansas","9",38959,"AR"
"Arkansas","10",38941,"AR"
"Arkansas","11",40404,"AR"
"Arkansas","12",41015,"AR"
"Arkansas","13",40146,"AR"
"Arkansas","14",39960,"AR"
"Arkansas","15",39598,"AR"
"Arkansas","16",39485,"AR"
"Arkansas","17",39395,"AR"
"Arkansas","18",38943,"AR"
"Arkansas","19",39830,"AR"
"Arkansas","20",40334,"AR"
"Arkansas","21",40395,"AR"
"Arkansas","22",40594,"AR"
"Arkansas","23",39653,"AR"
"Arkansas","24",39311,"AR"
"Arkansas","25",39834,"AR"
"Arkansas","26",39802,"AR"
"Arkansas","27",41169,"AR"
"Arkansas","28",42544,"AR"
"Arkansas","29",42150,"AR"
"Arkansas","30",39586,"AR"
"Arkansas","31",38492,"AR"
"Arkansas","32",37628,"AR"
"Arkansas","33",37564,"AR"
"Arkansas","34",38099,"AR"
"Arkansas","35",37715,"AR"
"Arkansas","36",38168,"AR"
"Arkansas","37",38361,"AR"
"Arkansas","38",38447,"AR"
"Arkansas","39",39465,"AR"
"Arkansas","40",36541,"AR"
"Arkansas","41",36126,"AR"
"Arkansas","42",35502,"AR"
"Arkansas","43",34384,"AR"
"Arkansas","44",35554,"AR"
"Arkansas","45",34516,"AR"
"Arkansas","46",35020,"AR"
"Arkansas","47",36538,"AR"
"Arkansas","48",38016,"AR"
"Arkansas","49",38174,"AR"
"Arkansas","50",35511,"AR"
"Arkansas","51",34743,"AR"
"Arkansas","52",34784,"AR"
"Arkansas","53",35588,"AR"
"Arkansas","54",38692,"AR"
"Arkansas","55",39716,"AR"
"Arkansas","56",39709,"AR"
"Arkansas","57",39366,"AR"
"Arkansas","58",39529,"AR"
"Arkansas","59",39701,"AR"
"Arkansas","60",38669,"AR"
"Arkansas","61",38092,"AR"
"Arkansas","62",37865,"AR"
"Arkansas","63",36917,"AR"
"Arkansas","64",36430,"AR"
"Arkansas","65",35478,"AR"
"Arkansas","66",34176,"AR"
"Arkansas","67",32682,"AR"
"Arkansas","68",31736,"AR"
"Arkansas","69",30888,"AR"
"Arkansas","70",30427,"AR"
"Arkansas","71",30017,"AR"
"Arkansas","72",31554,"AR"
"Arkansas","73",22864,"AR"
"Arkansas","74",23007,"AR"
"Arkansas","75",22169,"AR"
"Arkansas","76",22217,"AR"
"Arkansas","77",19362,"AR"
"Arkansas","78",17669,"AR"
"Arkansas","79",16670,"AR"
"Arkansas","80",14936,"AR"
"Arkansas","81",13764,"AR"
"Arkansas","82",12330,"AR"
"Arkansas","83",11253,"AR"
"Arkansas","84",10771,"AR"
"Arkansas","85",2853,"AR"
"Arkansas","86",2853,"AR"
"Arkansas","87",2853,"AR"
"Arkansas","88",2853,"AR"
"Arkansas","89",2853,"AR"
"Arkansas","90",2853,"AR"
"Arkansas","91",2853,"AR"
"Arkansas","92",2853,"AR"
"Arkansas","93",2853,"AR"
"Arkansas","94",2853,"AR"
"Arkansas","95",2853,"AR"
"Arkansas","96",2853,"AR"
"Arkansas","97",2853,"AR"
"Arkansas","98",2853,"AR"
"Arkansas","99",2853,"AR"
"Arkansas","100",2853,"AR"
"Arkansas","101",2853,"AR"
"Arkansas","102",2853,"AR"
"Arkansas","103",2853,"AR"
"Arkansas","104",2853,"AR"
"Arkansas","105",2853,"AR"
"California","0",462589,"CA"
"California","1",462713,"CA"
"California","2",477322,"CA"
"California","3",485894,"CA"
"California","4",495198,"CA"
"California","5",493458,"CA"
"California","6",494221,"CA"
"California","7",493396,"CA"
"California","8",504330,"CA"
"California","9",493445,"CA"
"California","10",492283,"CA"
"California","11",511109,"CA"
"California","12",512662,"CA"
"California","13",507455,"CA"
"California","14",505628,"CA"
"California","15",503712,"CA"
"California","16",501846,"CA"
"California","17",497380,"CA"
"California","18",520095,"CA"
"California","19",510661,"CA"
"California","20",503722,"CA"
"California","21",509401,"CA"
"California","22",523994,"CA"
"California","23",544149,"CA"
"California","24",566013,"CA"
"California","25",584705,"CA"
"California","26",596486,"CA"
"California","27",620414,"CA"
"California","28",646817,"CA"
"California","29",646556,"CA"
"California","30",616635,"CA"
"California","31",600661,"CA"
"California","32",582552,"CA"
"California","33",578717,"CA"
"California","34",579409,"CA"
"California","35",560827,"CA"
"California","36",563113,"CA"
"California","37",559009,"CA"
"California","38",545556,"CA"
"California","39",552069,"CA"
"California","40",512768,"CA"
"California","41",501141,"CA"
"California","42",497615,"CA"
"California","43",488053,"CA"
"California","44",501949,"CA"
"California","45",484090,"CA"
"California","46",484585,"CA"
"California","47",494127,"CA"
"California","48",516747,"CA"
"California","49",535870,"CA"
"California","50",505199,"CA"
"California","51",490725,"CA"
"California","52",479823,"CA"
"California","53",481890,"CA"
"California","54",506689,"CA"
"California","55",509117,"CA"
"California","56",503162,"CA"
"California","57",495532,"CA"
"California","58",495917,"CA"
"California","59",505049,"CA"
"California","60",475931,"CA"
"California","61",467635,"CA"
"California","62",457974,"CA"
"California","63",440328,"CA"
"California","64",435990,"CA"
"California","65",411959,"CA"
"California","66",392969,"CA"
"California","67",371355,"CA"
"California","68",358803,"CA"
"California","69",354786,"CA"
"California","70",334996,"CA"
"California","71",325934,"CA"
"California","72",330822,"CA"
"California","73",255411,"CA"
"California","74",249635,"CA"
"California","75",233568,"CA"
"California","76",229072,"CA"
"California","77",200181,"CA"
"California","78",182011,"CA"
"California","79",172849,"CA"
"California","80",158877,"CA"
"California","81",148337,"CA"
"California","82",135255,"CA"
"California","83",124947,"CA"
"California","84",116502,"CA"
"California","85",35707,"CA"
"California","86",35707,"CA"
"California","87",35707,"CA"
"California","88",35707,"CA"
"California","89",35707,"CA"
"California","90",35707,"CA"
"California","91",35707,"CA"
"California","92",35707,"CA"
"California","93",35707,"CA"
"California","94",35707,"CA"
"California","95",35707,"CA"
"California","96",35707,"CA"
"California","97",35707,"CA"
"California","98",35707,"CA"
"California","99",35707,"CA"
"California","100",35707,"CA"
"California","101",35707,"CA"
"California","102",35707,"CA"
"California","103",35707,"CA"
"California","104",35707,"CA"
"California","105",35707,"CA"
"Colorado","0",64561,"CO"
"Colorado","1",64867,"CO"
"Colorado","2",66298,"CO"
"Colorado","3",67828,"CO"
"Colorado","4",68647,"CO"
"Colorado","5",68470,"CO"
"Colorado","6",68016,"CO"
"Colorado","7",68582,"CO"
"Colorado","8",70351,"CO"
"Colorado","9",71364,"CO"
"Colorado","10",71018,"CO"
"Colorado","11",72673,"CO"
"Colorado","12",73645,"CO"
"Colorado","13",73125,"CO"
"Colorado","14",73078,"CO"
"Colorado","15",73342,"CO"
"Colorado","16",72647,"CO"
"Colorado","17",71007,"CO"
"Colorado","18",73449,"CO"
"Colorado","19",75003,"CO"
"Colorado","20",71850,"CO"
"Colorado","21",71793,"CO"
"Colorado","22",74781,"CO"
"Colorado","23",77245,"CO"
"Colorado","24",82096,"CO"
"Colorado","25",86227,"CO"
"Colorado","26",90358,"CO"
"Colorado","27",93888,"CO"
"Colorado","28",95463,"CO"
"Colorado","29",95224,"CO"
"Colorado","30",91830,"CO"
"Colorado","31",90057,"CO"
"Colorado","32",90123,"CO"
"Colorado","33",90659,"CO"
"Colorado","34",89525,"CO"
"Colorado","35",86349,"CO"
"Colorado","36",86331,"CO"
"Colorado","37",85047,"CO"
"Colorado","38",83808,"CO"
"Colorado","39",83982,"CO"
"Colorado","40",77814,"CO"
"Colorado","41",75900,"CO"
"Colorado","42",74139,"CO"
"Colorado","43",71342,"CO"
"Colorado","44",73359,"CO"
"Colorado","45",70361,"CO"
"Colorado","46",69985,"CO"
"Colorado","47",72561,"CO"
"Colorado","48",75941,"CO"
"Colorado","49",76387,"CO"
"Colorado","50",71704,"CO"
"Colorado","51",67944,"CO"
"Colorado","52",65518,"CO"
"Colorado","53",65720,"CO"
"Colorado","54",70029,"CO"
"Colorado","55",71709,"CO"
"Colorado","56",72142,"CO"
"Colorado","57",72557,"CO"
"Colorado","58",74063,"CO"
"Colorado","59",74506,"CO"
"Colorado","60",71890,"CO"
"Colorado","61",71107,"CO"
"Colorado","62",70373,"CO"
"Colorado","63",67763,"CO"
"Colorado","64",66903,"CO"
"Colorado","65",64280,"CO"
"Colorado","66",62246,"CO"
"Colorado","67",59165,"CO"
"Colorado","68",56363,"CO"
"Colorado","69",54242,"CO"
"Colorado","70",51627,"CO"
"Colorado","71",50303,"CO"
"Colorado","72",51833,"CO"
"Colorado","73",36767,"CO"
"Colorado","74",35305,"CO"
"Colorado","75",33441,"CO"
"Colorado","76",32734,"CO"
"Colorado","77",27949,"CO"
"Colorado","78",24824,"CO"
"Colorado","79",22850,"CO"
"Colorado","80",21094,"CO"
"Colorado","81",19458,"CO"
"Colorado","82",17348,"CO"
"Colorado","83",15994,"CO"
"Colorado","84",14668,"CO"
"Colorado","85",4282,"CO"
"Colorado","86",4282,"CO"
"Colorado","87",4282,"CO"
"Colorado","88",4282,"CO"
"Colorado","89",4282,"CO"
"Colorado","90",4282,"CO"
"Colorado","91",4282,"CO"
"Colorado","92",4282,"CO"
"Colorado","93",4282,"CO"
"Colorado","94",4282,"CO"
"Colorado","95",4282,"CO"
"Colorado","96",4282,"CO"
"Colorado","97",4282,"CO"
"Colorado","98",4282,"CO"
"Colorado","99",4282,"CO"
"Colorado","100",4282,"CO"
"Colorado","101",4282,"CO"
"Colorado","102",4282,"CO"
"Colorado","103",4282,"CO"
"Colorado","104",4282,"CO"
"Colorado","105",4282,"CO"
"Connecticut","0",34625,"CT"
"Connecticut","1",35542,"CT"
"Connecticut","2",36346,"CT"
"Connecticut","3",37139,"CT"
"Connecticut","4",38058,"CT"
"Connecticut","5",38066,"CT"
"Connecticut","6",38190,"CT"
"Connecticut","7",38800,"CT"
"Connecticut","8",39802,"CT"
"Connecticut","9",39880,"CT"
"Connecticut","10",40641,"CT"
"Connecticut","11",42251,"CT"
"Connecticut","12",43045,"CT"
"Connecticut","13",43714,"CT"
"Connecticut","14",44611,"CT"
"Connecticut","15",45230,"CT"
"Connecticut","16",45467,"CT"
"Connecticut","17",46033,"CT"
"Connecticut","18",50348,"CT"
"Connecticut","19",51794,"CT"
"Connecticut","20",52289,"CT"
"Connecticut","21",50276,"CT"
"Connecticut","22",47651,"CT"
"Connecticut","23",44742,"CT"
"Connecticut","24",44973,"CT"
"Connecticut","25",45726,"CT"
"Connecticut","26",46169,"CT"
"Connecticut","27",45040,"CT"
"Connecticut","28",44190,"CT"
"Connecticut","29",44332,"CT"
"Connecticut","30",43474,"CT"
"Connecticut","31",44347,"CT"
"Connecticut","32",44340,"CT"
"Connecticut","33",45398,"CT"
"Connecticut","34",45013,"CT"
"Connecticut","35",43998,"CT"
"Connecticut","36",43968,"CT"
"Connecticut","37",44184,"CT"
"Connecticut","38",43319,"CT"
"Connecticut","39",44386,"CT"
"Connecticut","40",42324,"CT"
"Connecticut","41",41453,"CT"
"Connecticut","42",41527,"CT"
"Connecticut","43",40394,"CT"
"Connecticut","44",41588,"CT"
"Connecticut","45",40438,"CT"
"Connecticut","46",41836,"CT"
"Connecticut","47",44545,"CT"
"Connecticut","48",48397,"CT"
"Connecticut","49",50278,"CT"
"Connecticut","50",48645,"CT"
"Connecticut","51",48488,"CT"
"Connecticut","52",49085,"CT"
"Connecticut","53",51328,"CT"
"Connecticut","54",53865,"CT"
"Connecticut","55",54258,"CT"
"Connecticut","56",53418,"CT"
"Connecticut","57",52705,"CT"
"Connecticut","58",53740,"CT"
"Connecticut","59",53846,"CT"
"Connecticut","60",51677,"CT"
"Connecticut","61",50956,"CT"
"Connecticut","62",49575,"CT"
"Connecticut","63",47262,"CT"
"Connecticut","64",46018,"CT"
"Connecticut","65",43363,"CT"
"Connecticut","66",41174,"CT"
"Connecticut","67",38552,"CT"
"Connecticut","68",36422,"CT"
"Connecticut","69",35572,"CT"
"Connecticut","70",34126,"CT"
"Connecticut","71",34199,"CT"
"Connecticut","72",36403,"CT"
"Connecticut","73",26937,"CT"
"Connecticut","74",26071,"CT"
"Connecticut","75",25567,"CT"
"Connecticut","76",26702,"CT"
"Connecticut","77",22328,"CT"
"Connecticut","78",19564,"CT"
"Connecticut","79",18123,"CT"
"Connecticut","80",16878,"CT"
"Connecticut","81",16045,"CT"
"Connecticut","82",14456,"CT"
"Connecticut","83",13623,"CT"
"Connecticut","84",12809,"CT"
"Connecticut","85",4349,"CT"
"Connecticut","86",4349,"CT"
"Connecticut","87",4349,"CT"
"Connecticut","88",4349,"CT"
"Connecticut","89",4349,"CT"
"Connecticut","90",4349,"CT"
"Connecticut","91",4349,"CT"
"Connecticut","92",4349,"CT"
"Connecticut","93",4349,"CT"
"Connecticut","94",4349,"CT"
"Connecticut","95",4349,"CT"
"Connecticut","96",4349,"CT"
"Connecticut","97",4349,"CT"
"Connecticut","98",4349,"CT"
"Connecticut","99",4349,"CT"
"Connecticut","100",4349,"CT"
"Connecticut","101",4349,"CT"
"Connecticut","102",4349,"CT"
"Connecticut","103",4349,"CT"
"Connecticut","104",4349,"CT"
"Connecticut","105",4349,"CT"
"Delaware","0",10618,"DE"
"Delaware","1",10671,"DE"
"Delaware","2",11061,"DE"
"Delaware","3",11239,"DE"
"Delaware","4",11130,"DE"
"Delaware","5",11106,"DE"
"Delaware","6",11061,"DE"
"Delaware","7",11372,"DE"
"Delaware","8",11448,"DE"
"Delaware","9",11325,"DE"
"Delaware","10",11313,"DE"
"Delaware","11",11613,"DE"
"Delaware","12",11558,"DE"
"Delaware","13",11646,"DE"
"Delaware","14",11533,"DE"
"Delaware","15",11654,"DE"
"Delaware","16",11648,"DE"
"Delaware","17",11576,"DE"
"Delaware","18",12590,"DE"
"Delaware","19",12750,"DE"
"Delaware","20",11785,"DE"
"Delaware","21",11267,"DE"
"Delaware","22",11107,"DE"
"Delaware","23",11172,"DE"
"Delaware","24",11823,"DE"
"Delaware","25",12347,"DE"
"Delaware","26",12463,"DE"
"Delaware","27",12946,"DE"
"Delaware","28",13685,"DE"
"Delaware","29",13870,"DE"
"Delaware","30",13712,"DE"
"Delaware","31",13093,"DE"
"Delaware","32",12335,"DE"
"Delaware","33",12259,"DE"
"Delaware","34",12370,"DE"
"Delaware","35",11921,"DE"
"Delaware","36",12116,"DE"
"Delaware","37",11786,"DE"
"Delaware","38",11660,"DE"
"Delaware","39",11891,"DE"
"Delaware","40",11374,"DE"
"Delaware","41",10997,"DE"
"Delaware","42",10635,"DE"
"Delaware","43",10145,"DE"
"Delaware","44",10576,"DE"
"Delaware","45",10236,"DE"
"Delaware","46",10570,"DE"
"Delaware","47",11144,"DE"
"Delaware","48",12172,"DE"
"Delaware","49",12563,"DE"
"Delaware","50",11768,"DE"
"Delaware","51",11876,"DE"
"Delaware","52",12262,"DE"
"Delaware","53",12764,"DE"
"Delaware","54",13526,"DE"
"Delaware","55",13673,"DE"
"Delaware","56",13894,"DE"
"Delaware","57",13720,"DE"
"Delaware","58",14014,"DE"
"Delaware","59",14014,"DE"
"Delaware","60",13646,"DE"
"Delaware","61",14077,"DE"
"Delaware","62",13775,"DE"
"Delaware","63",13519,"DE"
"Delaware","64",13398,"DE"
"Delaware","65",13016,"DE"
"Delaware","66",12761,"DE"
"Delaware","67",12297,"DE"
"Delaware","68",11787,"DE"
"Delaware","69",11561,"DE"
"Delaware","70",11371,"DE"
"Delaware","71",11371,"DE"
"Delaware","72",11983,"DE"
"Delaware","73",8497,"DE"
"Delaware","74",8214,"DE"
"Delaware","75",7977,"DE"
"Delaware","76",8141,"DE"
"Delaware","77",6985,"DE"
"Delaware","78",6077,"DE"
"Delaware","79",5472,"DE"
"Delaware","80",5007,"DE"
"Delaware","81",4746,"DE"
"Delaware","82",4088,"DE"
"Delaware","83",3795,"DE"
"Delaware","84",3506,"DE"
"Delaware","85",964,"DE"
"Delaware","86",964,"DE"
"Delaware","87",964,"DE"
"Delaware","88",964,"DE"
"Delaware","89",964,"DE"
"Delaware","90",964,"DE"
"Delaware","91",964,"DE"
"Delaware","92",964,"DE"
"Delaware","93",964,"DE"
"Delaware","94",964,"DE"
"Delaware","95",964,"DE"
"Delaware","96",964,"DE"
"Delaware","97",964,"DE"
"Delaware","98",964,"DE"
"Delaware","99",964,"DE"
"Delaware","100",964,"DE"
"Delaware","101",964,"DE"
"Delaware","102",964,"DE"
"Delaware","103",964,"DE"
"Delaware","104",964,"DE"
"Delaware","105",964,"DE"
"Florida","0",221463,"FL"
"Florida","1",224371,"FL"
"Florida","2",228778,"FL"
"Florida","3",232381,"FL"
"Florida","4",232749,"FL"
"Florida","5",233471,"FL"
"Florida","6",231167,"FL"
"Florida","7",233532,"FL"
"Florida","8",235348,"FL"
"Florida","9",232832,"FL"
"Florida","10",232988,"FL"
"Florida","11",242629,"FL"
"Florida","12",244614,"FL"
"Florida","13",243892,"FL"
"Florida","14",241924,"FL"
"Florida","15",240850,"FL"
"Florida","16",234530,"FL"
"Florida","17",242410,"FL"
"Florida","18",242940,"FL"
"Florida","19",241706,"FL"
"Florida","20",242201,"FL"
"Florida","21",247135,"FL"
"Florida","22",250579,"FL"
"Florida","23",255633,"FL"
"Florida","24",262574,"FL"
"Florida","25",269733,"FL"
"Florida","26",274194,"FL"
"Florida","27",283945,"FL"
"Florida","28",294561,"FL"
"Florida","29",297383,"FL"
