"location","age","pop","code"
"Alabama","0",56901,"AL"
"Alabama","1",58290,"AL"
"Alabama","2",59073,"AL"
"Alabama","3",59799,"AL"
"Alabama","4",60294,"AL"
"Alabama","5",59568,"AL"
"Alabama","6",58599,"AL"
"Alabama","7",59537,"AL"
"Alabama","8",60023,"AL"
"Alabama","9",60241,"AL"
"Alabama","10",60897,"AL"
"Alabama","11",63083,"AL"
"Alabama","12",62906,"AL"
"Alabama","13",61883,"AL"
"Alabama","14",61729,"AL"
"Alabama","15",61740,"AL"
"Alabama","16",61799,"AL"
"Alabama","17",61944,"AL"
"Alabama","18",63534,"AL"
"Alabama","19",64598,"AL"
"Alabama","20",63938,"AL"
"Alabama","21",64590,"AL"
"Alabama","22",64610,"AL"
"Alabama","23",64459,"AL"
"Alabama","24",64495,"AL"
"Alabama","25",65570,"AL"
"Alabama","26",65727,"AL"
"Alabama","27",67597,"AL"
"Alabama","28",69970,"AL"
"Alabama","29",69274,"AL"
"Alabama","30",65333,"AL"
"Alabama","31",61947,"AL"
"Alabama","32",60462,"AL"
"Alabama","33",60114,"AL"
"Alabama","34",61235,"AL"
"Alabama","35",59402,"AL"
"Alabama","36",60337,"AL"
"Alabama","37",60781,"AL"
"Alabama","38",61053,"AL"
"Alabama","39",62572,"AL"
"Alabama","40",58490,"AL"
"Alabama","41",58311,"AL"
"Alabama","42",58158,"AL"
"Alabama","43",55776,"AL"
"Alabama","44",58426,"AL"
"Alabama","45",57225,"AL"
"Alabama","46",59072,"AL"
"Alabama","47",62141,"AL"
"Alabama","48",65617,"AL"
"Alabama","49",64896,"AL"
"Alabama","50",60852,"AL"
"Alabama","51",59593,"AL"
"Alabama","52",59860,"AL"
"Alabama","53",61377,"AL"
"Alabama","54",65983,"AL"
"Alabama","55",66948,"AL"
"Alabama","56",66726,"AL"
"Alabama","57",67091,"AL"
"Alabama","58",67326,"AL"
"Alabama","59",68229,"AL"
"Alabama","60",65609,"AL"
"Alabama","61",65214,"AL"
"Alabama","62",65365,"AL"
"Alabama","63",63117,"AL"
"Alabama","64",62042,"AL"
"Alabama","65",59584,"AL"
"Alabama","66",56766,"AL"
"Alabama","67",54694,"AL"
"Alabama","68",52697,"AL"
"Alabama","69",51707,"AL"
"Alabama","70",50567,"AL"
"Alabama","71",49884,"AL"
"Alabama","72",51612,"AL"
"Alabama","73",37091,"AL"
"Alabama","74",36845,"AL"
"Alabama","75",35441,"AL"
"Alabama","76",36173,"AL"
"Alabama","77",30575,"AL"
"Alabama","78",27572,"AL"
"Alabama","79",26053,"AL"
"Alabama","80",23977,"AL"
"Alabama","81",22580,"AL"
"Alabama","82",19594,"AL"
"Alabama","83",18222,"AL"
"Alabama","84",16660,"AL"
"Alabama","85",4359,"AL"
"Alabama","86",4359,"AL"
"Alabama","87",4359,"AL"
"Alabama","88",4359,"AL"
"Alabama","89",4359,"AL"
